CD,S2016
1,0.753897
2,0.722558
3,0.696903
4,0.733721
5,0.616462
6,0.530710
7,0.847400
8,0.557252
9,0.659301
10,0.530823
11,0.517591
12,0.412224
13,0.579730
14,0.550673
15,0.366838
16,0.367684
17,0.531609
