CD,AG2018
1,0.725749
2,0.699409
3,0.693080
4,0.713087
5,0.643675
6,0.516098
7,0.844093
8,0.547172
9,0.681525
10,0.559789
11,0.517429
12,0.311463
13,0.531624
14,0.536011
15,0.292171
16,0.355166
17,0.517266
