Vf,G2018
0.250,0.000028
0.255,0.000054
0.260,0.000102
0.265,0.000186
0.270,0.000329
0.275,0.000565
0.280,0.000944
0.285,0.001531
0.290,0.002412
0.295,0.003695
0.300,0.005504
0.305,0.007977
0.310,0.011253
0.315,0.015462
0.320,0.020712
0.325,0.027066
0.330,0.034539
0.335,0.043087
0.340,0.052608
0.345,0.062951
0.350,0.073931
0.355,0.085353
0.360,0.097024
0.365,0.108781
0.370,0.120496
0.375,0.132084
0.380,0.143498
0.385,0.154720
0.390,0.165755
0.395,0.176612
0.400,0.187303
0.405,0.197838
0.410,0.208225
0.415,0.218476
0.420,0.228614
0.425,0.238677
0.430,0.248722
0.435,0.258827
0.440,0.269082
0.445,0.279589
0.450,0.290450
0.455,0.301755
0.460,0.313578
0.465,0.325968
0.470,0.338947
0.475,0.352506
0.480,0.366608
0.485,0.381192
0.490,0.396181
0.495,0.411483
0.500,0.427001
0.505,0.442641
0.510,0.458309
0.515,0.473925
0.520,0.489416
0.525,0.504721
0.530,0.519795
0.535,0.534601
0.540,0.549111
0.545,0.563309
0.550,0.577181
0.555,0.590723
0.560,0.607187
0.565,0.623931
0.570,0.640848
0.575,0.657947
0.580,0.675245
0.585,0.692772
0.590,0.710561
0.595,0.728643
0.600,0.747039
0.605,0.765749
0.610,0.784738
0.615,0.803931
0.620,0.823202
0.625,0.842377
0.630,0.861236
0.635,0.879527
0.640,0.896983
0.645,0.913343
0.650,0.928375
0.655,0.941895
0.660,0.953783
0.665,0.963992
0.670,0.972544
0.675,0.979528
0.680,0.985084
0.685,0.989388
0.690,0.992632
0.695,0.995010
0.700,0.996706
0.705,0.997881
0.710,0.998672
0.715,0.999190
0.720,0.999519
0.725,0.999722
0.730,0.999844
0.735,0.999915
0.740,0.999955
0.745,0.999977
0.750,0.999988
