METRIC,composite
Vf,0.544776
Sf,0.565722
EG,0.023830
PR,-0.020946
GAMMA,0.052208
BS_50,0.062391
BV_50,0.020903
BS_V,0.061338
GS,0.025567
MM,0.020663
LO,0.058406
DECL,6.440654
R,1.467788
r,2.633762
Sb,0.565722
Ra,0.782861
Rb,0.282861
Va,0.571513
Vb,0.370081
L_Vf,0.520000
L_Sf,0.497392
U_Vf,0.565000
U_Sf,0.628877
