METRIC,G2018
Vf,0.555169
Sf,0.591175
EG,0.019163
PR,-0.036006
GAMMA,0.090493
BS_50,0.072999
BV_50,0.023458
BS_V,0.064743
GS,0.027742
MM,0.024300
LO,0.064993
DECL,5.961942
R,1.652641
r,3.292919
Sb,0.591175
Ra,0.795587
Rb,0.295587
Va,0.566491
Vb,0.368516
L_Vf,0.535000
L_Sf,0.534601
U_Vf,0.580000
U_Sf,0.675245
