METRIC,S2020
Vf,0.547716
Sf,0.574304
EG,0.021128
PR,-0.026588
GAMMA,0.049241
BS_50,0.051941
BV_50,0.018443
BS_V,0.056026
GS,0.023574
MM,0.018077
LO,0.063404
DECL,6.776147
R,1.557223
r,2.589174
Sb,0.574304
Ra,0.787152
Rb,0.287152
Va,0.569209
Vb,0.367387
L_Vf,0.525000
L_Sf,0.517633
U_Vf,0.570000
U_Sf,0.642238
