METRIC,P2020
Vf,0.569383
Sf,0.616783
EG,0.021983
PR,-0.047400
GAMMA,0.047038
BS_50,0.053334
BV_50,0.020091
BS_V,0.061636
GS,0.026493
MM,0.021228
LO,0.089979
DECL,9.156424
R,1.683168
r,2.361117
Sb,0.616783
Ra,0.808392
Rb,0.308392
Va,0.555054
Vb,0.354967
L_Vf,0.545000
L_Sf,0.561027
U_Vf,0.590000
U_Sf,0.689157
