METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2020,METRIC,S2016,METRIC,G2018,METRIC,AG2018
Vf,0.544776,Vf,0.569383,Vf,0.526833,Vf,0.547716,Vf,0.530045,Vf,0.555169,Vf,0.533339
Sf,0.565722,Sf,0.616783,Sf,0.507025,Sf,0.574304,Sf,0.551690,Sf,0.591175,Sf,0.525739
EG,0.023830,EG,0.021983,EG,0.046641,EG,0.021128,EG,0.008400,EG,0.019163,EG,0.040939
PR,-0.020946,PR,-0.047400,PR,0.019808,PR,-0.026588,PR,-0.021645,PR,-0.036006,PR,0.007600
GAMMA,0.052208,GAMMA,0.047038,GAMMA,0.069970,GAMMA,0.049241,GAMMA,0.054154,GAMMA,0.090493,GAMMA,0.083440
BS_50,0.062391,BS_50,0.053334,BS_50,0.067478,BS_50,0.051941,BS_50,0.052243,BS_50,0.072999,BS_50,0.081587
BV_50,0.020903,BV_50,0.020091,BV_50,0.024240,BV_50,0.018443,BV_50,0.014767,BV_50,0.023458,BV_50,0.025208
BS_V,0.061338,BS_V,0.061636,BS_V,0.066278,BS_V,0.056026,BS_V,0.050537,BS_V,0.064743,BS_V,0.075311
GS,0.025567,GS,0.026493,GS,0.028632,GS,0.023574,GS,0.020841,GS,0.027742,GS,0.027457
MM,0.020663,MM,0.021228,MM,0.023534,MM,0.018077,MM,0.013771,MM,0.024300,MM,0.025016
LO,0.058406,LO,0.089979,LO,0.045387,LO,0.063404,LO,0.038340,LO,0.064993,LO,0.047972
DECL,6.440654,DECL,9.156424,DECL,8.139060,DECL,6.776147,DECL,3.895506,DECL,5.961942,DECL,7.495459
R,1.467788,R,1.683168,R,0.261819,R,1.557223,R,1.720429,R,1.652641,R,0.772037
r,2.633762,r,2.361117,r,2.869411,r,2.589174,r,3.522855,r,3.292919,r,3.274804
Sb,0.565722,Sb,0.616783,Sb,0.507025,Sb,0.574304,Sb,0.551690,Sb,0.591175,Sb,0.525739
Ra,0.782861,Ra,0.808392,Ra,0.753513,Ra,0.787152,Ra,0.775845,Ra,0.795587,Ra,0.762869
Rb,0.282861,Rb,0.308392,Rb,0.253513,Rb,0.287152,Rb,0.275845,Rb,0.295587,Rb,0.262869
Va,0.571513,Va,0.555054,Va,0.586796,Va,0.569209,Va,0.573883,Va,0.566491,Va,0.575584
Vb,0.370081,Vb,0.354967,Vb,0.367817,Vb,0.367387,Vb,0.387778,Vb,0.368516,Vb,0.376443
L_Vf,0.520000,L_Vf,0.545000,L_Vf,0.505000,L_Vf,0.525000,L_Vf,0.510000,L_Vf,0.535000,L_Vf,0.510000
L_Sf,0.497392,L_Sf,0.561027,L_Sf,0.446543,L_Sf,0.517633,L_Sf,0.483235,L_Sf,0.534601,L_Sf,0.450693
U_Vf,0.565000,U_Vf,0.590000,U_Vf,0.550000,U_Vf,0.570000,U_Vf,0.555000,U_Vf,0.580000,U_Vf,0.555000
U_Sf,0.628877,U_Sf,0.689157,U_Sf,0.575941,U_Sf,0.642238,U_Sf,0.636712,U_Sf,0.675245,U_Sf,0.603418
