METRIC,composite,P2020,P2016,S2020,S2016,G2018,AG2018
Vf,0.544776,0.569383,0.526833,0.547716,0.530045,0.555169,0.533339
Sf,0.565722,0.616783,0.507025,0.574304,0.551690,0.591175,0.525739
EG,0.023830,0.021983,0.046641,0.021128,0.008400,0.019163,0.040939
PR,-0.020946,-0.047400,0.019808,-0.026588,-0.021645,-0.036006,0.007600
GAMMA,0.052208,0.047038,0.069970,0.049241,0.054154,0.090493,0.083440
BS_50,0.062391,0.053334,0.067478,0.051941,0.052243,0.072999,0.081587
BV_50,0.020903,0.020091,0.024240,0.018443,0.014767,0.023458,0.025208
BS_V,0.061338,0.061636,0.066278,0.056026,0.050537,0.064743,0.075311
GS,0.025567,0.026493,0.028632,0.023574,0.020841,0.027742,0.027457
MM,0.020663,0.021228,0.023534,0.018077,0.013771,0.024300,0.025016
LO,0.058406,0.089979,0.045387,0.063404,0.038340,0.064993,0.047972
DECL,6.440654,9.156424,8.139060,6.776147,3.895506,5.961942,7.495459
R,1.467788,1.683168,0.261819,1.557223,1.720429,1.652641,0.772037
r,2.633762,2.361117,2.869411,2.589174,3.522855,3.292919,3.274804
Sb,0.565722,0.616783,0.507025,0.574304,0.551690,0.591175,0.525739
Ra,0.782861,0.808392,0.753513,0.787152,0.775845,0.795587,0.762869
Rb,0.282861,0.308392,0.253513,0.287152,0.275845,0.295587,0.262869
Va,0.571513,0.555054,0.586796,0.569209,0.573883,0.566491,0.575584
Vb,0.370081,0.354967,0.367817,0.367387,0.387778,0.368516,0.376443
L_Vf,0.520000,0.545000,0.505000,0.525000,0.510000,0.535000,0.510000
L_Sf,0.497392,0.561027,0.446543,0.517633,0.483235,0.534601,0.450693
U_Vf,0.565000,0.590000,0.550000,0.570000,0.555000,0.580000,0.555000
U_Sf,0.628877,0.689157,0.575941,0.642238,0.636712,0.675245,0.603418
