METRIC,AG2018
Vf,0.533339
Sf,0.525739
EG,0.040939
PR,0.007600
GAMMA,0.083440
BS_50,0.081587
BV_50,0.025208
BS_V,0.075311
GS,0.027457
MM,0.025016
LO,0.047972
DECL,7.495459
R,0.772037
r,3.274804
Sb,0.525739
Ra,0.762869
Rb,0.262869
Va,0.575584
Vb,0.376443
L_Vf,0.510000
L_Sf,0.450693
U_Vf,0.555000
U_Sf,0.603418
