Vf,S2016
0.250,0.000039
0.255,0.000075
0.260,0.000140
0.265,0.000252
0.270,0.000442
0.275,0.000751
0.280,0.001238
0.285,0.001983
0.290,0.003083
0.295,0.004656
0.300,0.006836
0.305,0.009759
0.310,0.013554
0.315,0.018330
0.320,0.024152
0.325,0.031035
0.330,0.038929
0.335,0.047724
0.340,0.057254
0.345,0.067314
0.350,0.077689
0.355,0.088174
0.360,0.098600
0.365,0.108853
0.370,0.118882
0.375,0.128693
0.380,0.138342
0.385,0.147918
0.390,0.157519
0.395,0.167240
0.400,0.177154
0.405,0.187311
0.410,0.197735
0.415,0.208429
0.420,0.219385
0.425,0.230595
0.430,0.242061
0.435,0.253795
0.440,0.265831
0.445,0.278216
0.450,0.291008
0.455,0.304269
0.460,0.318054
0.465,0.332409
0.470,0.347357
0.475,0.362900
0.480,0.379011
0.485,0.395638
0.490,0.412706
0.495,0.430116
0.500,0.447757
0.505,0.465506
0.510,0.483235
0.515,0.500819
0.520,0.518136
0.525,0.535077
0.530,0.551544
0.535,0.569159
0.540,0.586530
0.545,0.603592
0.550,0.620318
0.555,0.636712
0.560,0.652811
0.565,0.668687
0.570,0.684446
0.575,0.700218
0.580,0.716150
0.585,0.732392
0.590,0.749075
0.595,0.766291
0.600,0.784075
0.605,0.802389
0.610,0.821114
0.615,0.840049
0.620,0.858924
0.625,0.877423
0.630,0.895206
0.635,0.911946
0.640,0.927354
0.645,0.941207
0.650,0.953363
0.655,0.963767
0.660,0.972447
0.665,0.979505
0.670,0.985094
0.675,0.989406
0.680,0.992645
0.685,0.995014
0.690,0.996701
0.695,0.997869
0.700,0.998658
0.705,0.999175
0.710,0.999506
0.715,0.999711
0.720,0.999836
0.725,0.999909
0.730,0.999951
0.735,0.999974
0.740,0.999987
0.745,0.999993
0.750,0.999997
