CD,composite,CD,P2020,CD,P2016,CD,S2020,CD,S2016,CD,G2018,CD,AG2018
1,0.792869,1,0.813597,1,0.795365,1,0.791704,1,0.769963,1,0.798328,1,0.782522
2,0.678803,2,0.704684,2,0.666700,2,0.679975,2,0.649223,2,0.693342,2,0.672781
3,0.451458,3,0.457732,3,0.423557,3,0.447690,3,0.458934,3,0.469784,3,0.452590
4,0.373500,4,0.404871,4,0.350404,4,0.379026,4,0.370665,4,0.377838,4,0.352806
5,0.409399,5,0.447508,5,0.379024,5,0.420945,5,0.384766,5,0.416178,5,0.395923
6,0.585277,6,0.622150,6,0.572208,6,0.594968,6,0.564219,6,0.587163,6,0.559626
7,0.541435,7,0.572892,7,0.516204,7,0.550691,7,0.521905,7,0.551910,7,0.525040
8,0.506792,8,0.523417,8,0.490394,8,0.508586,8,0.510642,8,0.509829,8,0.491606
