METRIC,S2016
Vf,0.530045
Sf,0.551690
EG,0.008400
PR,-0.021645
GAMMA,0.054154
BS_50,0.052243
BV_50,0.014767
BS_V,0.050537
GS,0.020841
MM,0.013771
LO,0.038340
DECL,3.895506
R,1.720429
r,3.522855
Sb,0.551690
Ra,0.775845
Rb,0.275845
Va,0.573883
Vb,0.387778
L_Vf,0.510000
L_Sf,0.483235
U_Vf,0.555000
U_Sf,0.636712
