METRIC,P2016
Vf,0.526833
Sf,0.507025
EG,0.046641
PR,0.019808
GAMMA,0.069970
BS_50,0.067478
BV_50,0.024240
BS_V,0.066278
GS,0.028632
MM,0.023534
LO,0.045387
DECL,8.139060
R,0.261819
r,2.869411
Sb,0.507025
Ra,0.753513
Rb,0.253513
Va,0.586796
Vb,0.367817
L_Vf,0.505000
L_Sf,0.446543
U_Vf,0.550000
U_Sf,0.575941
