METRIC,S2020
Vf,0.334705
Sf,0.001934
EG,0.167476
PR,0.332771
GAMMA,0.475506
BS_50,0.014510
BV_50,0.002427
BS_V,-0.000868
GS,0.005547
MM,0.004047
LO,0.000000
DECL,0.000000
R,3.013195
r,0.136483
Sb,0.001934
Ra,0.500967
Rb,0.000967
Va,0.668394
Vb,0.500000
L_Vf,0.310000
L_Sf,0.000188
U_Vf,0.355000
U_Sf,0.006490
