CD,composite,CD,P2020,CD,P2016,CD,S2020,CD,S2016,CD,G2018,CD,AG2018
1,0.299247,1,0.289264,1,0.316610,1,0.263646,1,0.336790,1,0.287336,1,0.318169
2,0.417886,2,0.432592,2,0.420052,2,0.401988,2,0.445799,2,0.378721,2,0.426905
3,0.356589,3,0.379297,3,0.344866,3,0.370421,3,0.345073,3,0.329319,3,0.362908
4,0.325469,4,0.318783,4,0.340713,4,0.290895,4,0.369969,4,0.304206,4,0.339091
