Vf,composite
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000001
0.275,0.000002
0.280,0.000003
0.285,0.000007
0.290,0.000012
0.295,0.000022
0.300,0.000040
0.305,0.000070
0.310,0.000120
0.315,0.000202
0.320,0.000333
0.325,0.000537
0.330,0.000849
0.335,0.001315
0.340,0.001997
0.345,0.002972
0.350,0.004337
0.355,0.005913
0.360,0.007684
0.365,0.009879
0.370,0.012571
0.375,0.015832
0.380,0.019741
0.385,0.024376
0.390,0.029814
0.395,0.036131
0.400,0.043398
0.405,0.051684
0.410,0.061051
0.415,0.071558
0.420,0.083258
0.425,0.096204
0.430,0.110447
0.435,0.126037
0.440,0.143028
0.445,0.161478
0.450,0.181446
0.455,0.202992
0.460,0.226178
0.465,0.251056
0.470,0.277668
0.475,0.306036
0.480,0.336152
0.485,0.367971
0.490,0.401404
0.495,0.436308
0.500,0.472484
0.505,0.509676
0.510,0.547569
0.515,0.585804
0.520,0.623980
0.525,0.661672
0.530,0.698449
0.535,0.733891
0.540,0.767607
0.545,0.799254
0.550,0.828551
0.555,0.855288
0.560,0.879336
0.565,0.900646
0.570,0.919244
0.575,0.935227
0.580,0.948748
0.585,0.960007
0.590,0.969232
0.595,0.976668
0.600,0.982565
0.605,0.987164
0.610,0.990692
0.615,0.993353
0.620,0.995326
0.625,0.996764
0.630,0.997795
0.635,0.998522
0.640,0.999024
0.645,0.999367
0.650,0.999595
0.655,0.999746
0.660,0.999843
0.665,0.999905
0.670,0.999943
0.675,0.999966
0.680,0.999981
0.685,0.999989
0.690,0.999994
0.695,0.999997
0.700,0.999998
0.705,0.999999
0.710,0.999999
0.715,1.000000
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
