Vf,composite,P2020,P2016,S2020,S2016,G2018,AG2018
0.655,0.999746,0.999502,0.999833,0.999488,0.999792,0.999849,0.999788
0.660,0.999843,0.999687,0.999898,0.999678,0.999873,0.999908,0.999870
0.665,0.999905,0.999806,0.999939,0.999801,0.999923,0.999945,0.999921
0.670,0.999943,0.999882,0.999964,0.999879,0.999955,0.999967,0.999953
0.675,0.999966,0.999930,0.999979,0.999928,0.999973,0.999981,0.999973
0.680,0.999981,0.999959,0.999988,0.999958,0.999985,0.999989,0.999984
0.685,0.999989,0.999976,0.999993,0.999976,0.999991,0.999994,0.999991
0.690,0.999994,0.999987,0.999996,0.999986,0.999995,0.999997,0.999995
0.695,0.999997,0.999993,0.999998,0.999992,0.999997,0.999998,0.999997
0.700,0.999998,0.999996,0.999999,0.999996,0.999999,0.999999,0.999999
0.705,0.999999,0.999998,0.999999,0.999998,0.999999,0.999999,0.999999
0.710,0.999999,0.999999,1.000000,0.999999,1.000000,1.000000,1.000000
0.715,1.000000,0.999999,1.000000,0.999999,1.000000,1.000000,1.000000
0.720,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.725,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.730,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.735,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.740,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.745,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.750,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
