METRIC,P2020
Vf,0.357876
Sf,0.011813
EG,0.203939
PR,0.346063
GAMMA,0.395702
BS_50,0.024273
BV_50,0.003934
BS_V,-0.005060
GS,0.008145
MM,0.008836
LO,0.000000
DECL,0.000000
R,3.434937
r,0.650732
Sb,0.011813
Ra,0.505907
Rb,0.005907
Va,0.645926
Vb,0.500000
L_Vf,0.335000
L_Sf,0.002221
U_Vf,0.380000
U_Sf,0.030579
