Vf,S2016
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000001
0.275,0.000002
0.280,0.000003
0.285,0.000006
0.290,0.000011
0.295,0.000020
0.300,0.000035
0.305,0.000062
0.310,0.000106
0.315,0.000179
0.320,0.000296
0.325,0.000478
0.330,0.000758
0.335,0.001178
0.340,0.001793
0.345,0.002678
0.350,0.003920
0.355,0.005629
0.360,0.007928
0.365,0.010956
0.370,0.014858
0.375,0.019781
0.380,0.024900
0.385,0.030205
0.390,0.036293
0.395,0.043209
0.400,0.050988
0.405,0.059657
0.410,0.069239
0.415,0.079750
0.420,0.091207
0.425,0.103630
0.430,0.117048
0.435,0.131502
0.440,0.147054
0.445,0.163781
0.450,0.181786
0.455,0.201190
0.460,0.222129
0.465,0.244746
0.470,0.269181
0.475,0.295556
0.480,0.323960
0.485,0.354432
0.490,0.386948
0.495,0.421409
0.500,0.457628
0.505,0.495336
0.510,0.534176
0.515,0.573719
0.520,0.613479
0.525,0.652934
0.530,0.691551
0.535,0.728812
0.540,0.764240
0.545,0.797423
0.550,0.828031
0.555,0.855826
0.560,0.880670
0.565,0.902526
0.570,0.921444
0.575,0.937556
0.580,0.951054
0.585,0.962177
0.590,0.971192
0.595,0.978378
0.600,0.984011
0.605,0.988353
0.610,0.991644
0.615,0.994096
0.620,0.995893
0.625,0.997187
0.630,0.998103
0.635,0.998741
0.640,0.999178
0.645,0.999472
0.650,0.999666
0.655,0.999792
0.660,0.999873
0.665,0.999923
0.670,0.999955
0.675,0.999973
0.680,0.999985
0.685,0.999991
0.690,0.999995
0.695,0.999997
0.700,0.999999
0.705,0.999999
0.710,1.000000
0.715,1.000000
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
