METRIC,AG2018
Vf,0.364374
Sf,0.008540
EG,0.220208
PR,0.355834
GAMMA,0.425232
BS_50,0.032403
BV_50,0.004199
BS_V,-0.003649
GS,0.007398
MM,0.013374
LO,0.000000
DECL,0.000000
R,3.623645
r,0.488318
Sb,0.008540
Ra,0.504270
Rb,0.004270
Va,0.638787
Vb,0.500000
L_Vf,0.340000
L_Sf,0.001388
U_Vf,0.385000
U_Sf,0.022152
