METRIC,composite
Vf,0.352101
Sf,0.005055
EG,0.199147
PR,0.347046
GAMMA,0.448343
BS_50,0.027516
BV_50,0.003699
BS_V,-0.002249
GS,0.007152
MM,0.011072
LO,0.000000
DECL,0.000000
R,3.346509
r,0.315093
Sb,0.005055
Ra,0.502527
Rb,0.002527
Va,0.650545
Vb,0.500000
L_Vf,0.330000
L_Sf,0.000849
U_Vf,0.375000
U_Sf,0.015832
