METRIC,P2016
Vf,0.357162
Sf,0.005727
EG,0.208597
PR,0.351435
GAMMA,0.444483
BS_50,0.028859
BV_50,0.003604
BS_V,-0.002570
GS,0.007287
MM,0.014373
LO,0.000000
DECL,0.000000
R,3.460372
r,0.348572
Sb,0.005727
Ra,0.502864
Rb,0.002864
Va,0.644810
Vb,0.500000
L_Vf,0.335000
L_Sf,0.001007
U_Vf,0.380000
U_Sf,0.017456
