METRIC,G2018
Vf,0.327184
Sf,0.000306
EG,0.154062
PR,0.326878
GAMMA,0.495145
BS_50,0.022265
BV_50,0.002662
BS_V,-0.000140
GS,0.004402
MM,0.010422
LO,0.000000
DECL,0.000000
R,2.891478
r,0.026323
Sb,0.000306
Ra,0.500153
Rb,0.000153
Va,0.675121
Vb,0.500000
L_Vf,0.305000
L_Sf,0.000030
U_Vf,0.350000
U_Sf,0.001559
