CD,G2018
15,0.348441
12,0.369091
16,0.385627
11,0.513640
6,0.526759
8,0.542196
10,0.546973
14,0.549689
17,0.551056
13,0.587540
5,0.640575
9,0.681985
3,0.708412
2,0.728879
4,0.736596
1,0.744882
7,0.853169
