METRIC,AG2018
Vf,0.561386
Sf,0.729799
EG,-0.107027
PR,-0.168413
GAMMA,-0.047886
BS_50,-0.020261
BV_50,-0.006548
BS_V,-0.043834
GS,-0.025084
MM,0.014214
LO,0.026807
DECL,-18.491578
R,3.743505
r,2.963419
Sb,0.729799
Ra,0.864899
Rb,0.364899
Va,0.609075
Vb,0.364118
L_Vf,0.540000
L_Sf,0.662129
U_Vf,0.585000
U_Sf,0.787163
