CD,AG2018
15,0.292171
12,0.311463
16,0.355166
6,0.516098
17,0.517266
11,0.517429
13,0.531624
14,0.536011
8,0.547172
10,0.559789
5,0.643675
9,0.681525
3,0.693080
2,0.699409
4,0.713087
1,0.725749
7,0.844093
