METRIC,G2018
Vf,0.584089
S_V,12.896032
Sf,0.758590
FPTP,14.000000
PR,10.000000
BS_50,0.003698
BV_50,0.001194
DECL,-15.109211
GS,0.015600
EG,-0.090412
BS_V,-0.004688
PROP,-0.174501
MM,0.033033
TO,-0.005059
MM',0.038092
LO,0.057509
R,3.075195
r,2.211922
Rd,3.416644
L_Vf,0.560000
L_Sf,0.696890
U_Vf,0.605000
U_Sf,0.799366
