CD,G2018
1,0.744882
2,0.728879
3,0.708412
4,0.736596
5,0.640575
6,0.526759
7,0.853169
8,0.542196
9,0.681985
10,0.546973
11,0.513640
12,0.369091
13,0.587540
14,0.549689
15,0.348441
16,0.385627
17,0.551056
