CD,P2016
1,0.750041
2,0.720706
3,0.737362
4,0.769053
5,0.705752
6,0.544301
7,0.897823
8,0.583680
9,0.725596
10,0.622716
11,0.557291
12,0.274778
13,0.544662
14,0.546050
15,0.295177
16,0.371132
17,0.535808
