Vf,AG2018
0.250,0.000057
0.255,0.000106
0.260,0.000191
0.265,0.000332
0.270,0.000561
0.275,0.000918
0.280,0.001456
0.285,0.002240
0.290,0.003345
0.295,0.004854
0.300,0.006849
0.305,0.009406
0.310,0.012589
0.315,0.016444
0.320,0.020999
0.325,0.026264
0.330,0.032241
0.335,0.038934
0.340,0.046362
0.345,0.054565
0.350,0.063617
0.355,0.073616
0.360,0.084680
0.365,0.096928
0.370,0.110456
0.375,0.125320
0.380,0.141512
0.385,0.158950
0.390,0.177473
0.395,0.196847
0.400,0.216784
0.405,0.236958
0.410,0.257036
0.415,0.276703
0.420,0.295688
0.425,0.313781
0.430,0.330844
0.435,0.346823
0.440,0.361738
0.445,0.375682
0.450,0.388805
0.455,0.401303
0.460,0.413397
0.465,0.425323
0.470,0.437313
0.475,0.449580
0.480,0.462314
0.485,0.475664
0.490,0.489740
0.495,0.504601
0.500,0.520261
0.505,0.536685
0.510,0.553790
0.515,0.571459
0.520,0.589535
0.525,0.607840
0.530,0.626176
0.535,0.644340
0.540,0.662129
0.545,0.679348
0.550,0.695823
0.555,0.711401
0.560,0.725958
0.565,0.740775
0.570,0.754673
0.575,0.767029
0.580,0.777841
0.585,0.787163
0.590,0.795095
0.595,0.801779
0.600,0.807389
0.605,0.812128
0.610,0.816216
0.615,0.819888
0.620,0.823385
0.625,0.826952
0.630,0.830828
0.635,0.835240
0.640,0.840392
0.645,0.846460
0.650,0.853572
0.655,0.861801
0.660,0.871148
0.665,0.881534
0.670,0.892793
0.675,0.904681
0.680,0.916885
0.685,0.929048
0.690,0.940803
0.695,0.951806
0.700,0.961770
0.705,0.970493
0.710,0.977869
0.715,0.983889
0.720,0.988628
0.725,0.992224
0.730,0.994853
0.735,0.996706
0.740,0.997962
0.745,0.998782
0.750,0.999297
