CD,composite,P2020,P2016,S2020,S2016,G2018,AG2018
15,0.319382,0.282213,0.274778,0.317645,0.366838,0.348441,0.292171
12,0.323121,0.302205,0.295177,0.332029,0.367684,0.369091,0.311463
16,0.377229,0.389944,0.371132,0.394929,0.412224,0.385627,0.355166
17,0.537204,0.539878,0.535808,0.547195,0.517591,0.513640,0.516098
6,0.540768,0.555410,0.544301,0.561210,0.530710,0.526759,0.517266
11,0.544069,0.557413,0.544662,0.561797,0.530823,0.542196,0.517429
14,0.551358,0.558470,0.546050,0.562152,0.531609,0.546973,0.531624
13,0.561107,0.578146,0.557291,0.566263,0.550673,0.549689,0.536011
8,0.567110,0.578510,0.583680,0.581015,0.557252,0.551056,0.547172
10,0.584924,0.631819,0.622716,0.599135,0.579730,0.587540,0.559789
5,0.668884,0.702520,0.705752,0.690507,0.616462,0.640575,0.643675
9,0.695636,0.702877,0.720706,0.706617,0.659301,0.681985,0.681525
3,0.713056,0.710295,0.725596,0.707463,0.696903,0.708412,0.693080
2,0.713458,0.711362,0.737362,0.707639,0.722558,0.728879,0.699409
1,0.733396,0.714837,0.750041,0.724250,0.733721,0.736596,0.713087
4,0.743171,0.736381,0.769053,0.760533,0.753897,0.744882,0.725749
7,0.863895,0.870004,0.897823,0.859725,0.847400,0.853169,0.844093
