CD,S2020
1,0.707639
2,0.706617
3,0.724250
4,0.760533
5,0.690507
6,0.561797
7,0.859725
8,0.581015
9,0.707463
10,0.599135
11,0.562152
12,0.317645
13,0.566263
14,0.561210
15,0.332029
16,0.394929
17,0.547195
