METRIC,P2016
Vf,0.590201
Sf,0.784060
S_V,13.329026
FPTP,14.000000
PR,10.000000
EG,-0.103658
PROP,-0.193859
BS_50,-0.033024
BV_50,-0.012159
BS_V,-0.027979
GS,-0.035437
DECL,-30.206418
MM,0.006521
TO,-0.008736
MM',0.015257
LO,0.021849
R,3.149193
r,1.649149
Rd,2.323165
Sb,0.784060
Ra,0.892030
Rb,0.392030
Va,0.643993
Vb,0.334157
AVG_DVf,0.660060
AVG_RVf,0.313696
L_Vf,0.570000
L_Sf,0.745466
U_Vf,0.615000
U_Sf,0.813569
