METRIC,composite
Vf,0.581686
Sf,0.782889
S_V,13.309117
FPTP,14.000000
PR,10.000000
EG,-0.119517
PROP,-0.201203
BS_50,-0.030395
BV_50,-0.009336
BS_V,-0.029316
GS,-0.029332
DECL,-27.316003
MM,0.014576
TO,-0.008771
MM',0.023347
LO,0.027865
R,3.463130
r,1.708463
Rd,2.414350
Sb,0.782889
Ra,0.891445
Rb,0.391445
Va,0.621323
Vb,0.350812
AVG_DVf,0.644145
AVG_RVf,0.339911
L_Vf,0.560000
L_Sf,0.736847
U_Vf,0.605000
U_Sf,0.812225
