Vf,G2018
0.250,0.000022
0.255,0.000043
0.260,0.000080
0.265,0.000143
0.270,0.000250
0.275,0.000424
0.280,0.000698
0.285,0.001115
0.290,0.001732
0.295,0.002615
0.300,0.003842
0.305,0.005496
0.310,0.007666
0.315,0.010432
0.320,0.013871
0.325,0.018043
0.330,0.022997
0.335,0.028770
0.340,0.035389
0.345,0.042880
0.350,0.051273
0.355,0.060610
0.360,0.070936
0.365,0.082306
0.370,0.094765
0.375,0.108345
0.380,0.123042
0.385,0.138810
0.390,0.155551
0.395,0.173113
0.400,0.191299
0.405,0.209875
0.410,0.228591
0.415,0.247200
0.420,0.265474
0.425,0.283226
0.430,0.300316
0.435,0.316662
0.440,0.332237
0.445,0.347071
0.450,0.361238
0.455,0.374850
0.460,0.388047
0.465,0.400981
0.470,0.413814
0.475,0.426700
0.480,0.439785
0.485,0.453197
0.490,0.467041
0.495,0.481393
0.500,0.496302
0.505,0.511785
0.510,0.527825
0.515,0.544373
0.520,0.561353
0.525,0.578659
0.530,0.596166
0.535,0.613727
0.540,0.631189
0.545,0.648390
0.550,0.665172
0.555,0.681385
0.560,0.696890
0.565,0.711570
0.570,0.725326
0.575,0.738086
0.580,0.749802
0.585,0.760861
0.590,0.772475
0.595,0.782687
0.600,0.791598
0.605,0.799366
0.610,0.806204
0.615,0.812369
0.620,0.818152
0.625,0.823869
0.630,0.829838
0.635,0.836360
0.640,0.843696
0.645,0.852041
0.650,0.861500
0.655,0.872070
0.660,0.883636
0.665,0.895969
0.670,0.908753
0.675,0.921609
0.680,0.934138
0.685,0.945958
0.690,0.956750
0.695,0.966280
0.700,0.974415
0.705,0.981126
0.710,0.986475
0.715,0.990593
0.720,0.993654
0.725,0.995850
0.730,0.997371
0.735,0.998388
0.740,0.999043
0.745,0.999451
0.750,0.999695
