Vf,P2020
0.250,0.000037
0.255,0.000069
0.260,0.000126
0.265,0.000222
0.270,0.000381
0.275,0.000633
0.280,0.001019
0.285,0.001593
0.290,0.002418
0.295,0.003565
0.300,0.005109
0.305,0.007124
0.310,0.009673
0.315,0.012805
0.320,0.016552
0.325,0.020923
0.330,0.025914
0.335,0.031511
0.340,0.037711
0.345,0.044527
0.350,0.052006
0.355,0.060238
0.360,0.069350
0.365,0.079505
0.370,0.090882
0.375,0.103654
0.380,0.117964
0.385,0.133897
0.390,0.151461
0.395,0.170576
0.400,0.191069
0.405,0.212685
0.410,0.235103
0.415,0.257961
0.420,0.280889
0.425,0.303536
0.430,0.325600
0.435,0.346846
0.440,0.367126
0.445,0.386378
0.450,0.404627
0.455,0.421968
0.460,0.438555
0.465,0.454579
0.470,0.470246
0.475,0.485757
0.480,0.501294
0.485,0.517005
0.490,0.532996
0.495,0.549323
0.500,0.565995
0.505,0.582975
0.510,0.600183
0.515,0.617507
0.520,0.634805
0.525,0.651921
0.530,0.668690
0.535,0.684946
0.540,0.700533
0.545,0.715312
0.550,0.729165
0.555,0.741999
0.560,0.753750
0.565,0.764383
0.570,0.773891
0.575,0.782294
0.580,0.789633
0.585,0.795970
0.590,0.801891
0.595,0.807074
0.600,0.811405
0.605,0.815050
0.610,0.818189
0.615,0.821000
0.620,0.823661
0.625,0.826334
0.630,0.829167
0.635,0.832280
0.640,0.835765
0.645,0.839686
0.650,0.844083
0.655,0.848980
0.660,0.854397
0.665,0.860367
0.670,0.866937
0.675,0.874169
0.680,0.882129
0.685,0.890862
0.690,0.900366
0.695,0.910559
0.700,0.921268
0.705,0.932229
0.710,0.943104
0.715,0.953529
0.720,0.963155
0.725,0.971699
0.730,0.978977
0.735,0.984921
0.740,0.989570
0.745,0.993052
0.750,0.995546
