METRIC,composite,P2020,P2016,S2020,S2016,G2018,AG2018
Vf,0.581686,0.586590,0.590201,0.585649,0.579676,0.584089,0.561386
Sf,0.782889,0.797787,0.784060,0.801424,0.754396,0.758590,0.729799
EG,-0.119517,-0.124607,-0.103658,-0.130126,-0.095044,-0.090412,-0.107027
PR,-0.201203,-0.211197,-0.193859,-0.215775,-0.174720,-0.174501,-0.168413
GAMMA,-0.143332,-0.195253,-0.135305,-0.209012,-0.065006,-0.072592,-0.047886
BS_50,-0.030395,-0.065995,-0.033024,-0.059129,0.008906,0.003698,-0.020261
BV_50,-0.009336,-0.020416,-0.012159,-0.016869,0.002627,0.001194,-0.006548
BS_V,-0.029316,-0.024272,-0.027979,-0.030495,-0.005813,-0.004688,-0.043834
GS,-0.029332,-0.041054,-0.035437,-0.036264,0.010596,0.015600,-0.025084
MM,0.014576,0.008080,0.006521,0.004634,0.022424,0.033033,0.014214
LO,0.027865,0.010640,0.021849,0.026983,0.064306,0.057509,0.026807
DECL,-27.316003,-33.856499,-30.206418,-31.061054,-11.190722,-15.109211,-18.491578
R,3.463130,3.439048,3.149193,3.519294,3.192882,3.075195,3.743505
r,1.708463,1.184133,1.649149,1.078962,2.377005,2.211922,2.963419
Sb,0.782889,0.797787,0.784060,0.801424,0.754396,0.758590,0.729799
Ra,0.891445,0.898894,0.892030,0.900712,0.877198,0.879295,0.864899
Rb,0.391445,0.398894,0.392030,0.400712,0.377198,0.379295,0.364899
Va,0.621323,0.645977,0.643993,0.628067,0.575227,0.588020,0.609075
Vb,0.350812,0.343383,0.334157,0.344950,0.360467,0.354471,0.364118
L_Vf,0.560000,0.565000,0.570000,0.565000,0.555000,0.560000,0.540000
L_Sf,0.736847,0.764383,0.745466,0.770729,0.686178,0.696890,0.662129
U_Vf,0.605000,0.610000,0.615000,0.610000,0.600000,0.605000,0.585000
U_Sf,0.812225,0.818189,0.813569,0.820600,0.799481,0.799366,0.787163
