CD,P2020
12,0.282213
15,0.302205
16,0.389944
17,0.539878
6,0.555410
13,0.557413
14,0.558470
11,0.578146
8,0.578510
10,0.631819
5,0.702520
2,0.702877
9,0.710295
3,0.711362
1,0.714837
4,0.736381
7,0.870004
