METRIC,S2016
Vf,0.579676
Sf,0.754396
EG,-0.095044
PR,-0.174720
GAMMA,-0.065006
BS_50,0.008906
BV_50,0.002627
BS_V,-0.005813
GS,0.010596
MM,0.022424
LO,0.064306
DECL,-11.190722
R,3.192882
r,2.377005
Sb,0.754396
Ra,0.877198
Rb,0.377198
Va,0.575227
Vb,0.360467
L_Vf,0.555000
L_Sf,0.686178
U_Vf,0.600000
U_Sf,0.799481
