CD,S2016
15,0.366838
16,0.367684
12,0.412224
11,0.517591
6,0.530710
10,0.530823
17,0.531609
14,0.550673
8,0.557252
13,0.579730
5,0.616462
9,0.659301
3,0.696903
2,0.722558
4,0.733721
1,0.753897
7,0.847400
