CD,composite
1,0.549307
2,0.631539
3,0.376396
4,0.677149
5,0.397577
6,0.564323
7,0.445120
8,0.332674
9,0.467712
10,0.309522
11,0.450158
12,0.643981
13,0.506684
14,0.563539
