METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2020,METRIC,S2016,METRIC,G2020,METRIC,AG2020
Vf,0.494333,Vf,0.493144,Vf,0.480941,Vf,0.490852,Vf,0.470444,Vf,0.522875,Vf,0.501243
Sf,0.482447,Sf,0.474455,Sf,0.450154,Sf,0.471413,Sf,0.409629,Sf,0.561210,Sf,0.501392
S_V,6.754260,S_V,6.642375,S_V,6.302155,S_V,6.599776,S_V,5.734810,S_V,7.856937,S_V,7.019488
FPTP,7.000000,FPTP,7.000000,FPTP,6.000000,FPTP,7.000000,FPTP,6.000000,FPTP,7.000000,FPTP,7.000000
PR,7.000000,PR,7.000000,PR,7.000000,PR,7.000000,PR,7.000000,PR,7.000000,PR,7.000000
EG,0.006219,EG,0.011833,EG,0.011728,EG,0.010291,EG,0.031259,EG,-0.015460,EG,0.001094
PROP,0.011886,PROP,0.018689,PROP,0.030787,PROP,0.019439,PROP,0.060815,PROP,-0.038335,PROP,-0.000149
BS_50,0.002730,BS_50,0.008811,BS_50,0.005171,BS_50,0.004048,BS_50,0.001585,BS_50,0.001676,BS_50,0.001827
BV_50,0.001009,BV_50,0.003466,BV_50,0.002024,BV_50,0.001442,BV_50,0.000483,BV_50,0.000597,BV_50,0.000694
BS_V,0.002460,BS_V,0.008402,BS_V,0.001754,BS_V,0.003297,BS_V,-0.004432,BS_V,0.003731,BS_V,0.001822
GS,0.001177,GS,0.003328,GS,0.004679,GS,0.001957,GS,0.004557,GS,0.005291,GS,0.000815
DECL,0.181298,DECL,1.229868,DECL,-0.025587,DECL,0.291509,DECL,-0.152085,DECL,0.061560,DECL,0.161607
MM,0.007135,MM,0.009050,MM,0.008381,MM,0.008814,MM,0.007223,MM,0.004401,MM,0.006039
TO,0.000356,TO,0.000055,TO,0.000237,TO,0.000481,TO,0.001336,TO,0.000184,TO,0.000332
MM',0.006779,MM',0.008995,MM',0.008144,MM',0.008332,MM',0.005886,MM',0.004217,MM',0.005707
LO,-0.005574,LO,-0.003823,LO,-0.019359,LO,-0.008912,LO,-0.031250,LO,0.022841,LO,0.001311
R,3.097378,R,3.725885,R,2.615356,R,3.124996,R,3.057610,R,2.675838,R,1.119891
r,2.626454,r,2.429867,r,2.268337,r,2.649857,r,2.836393,r,2.816017,r,2.631181
Rd,3.168214,Rd,2.954611,Rd,2.773323,Rd,3.237224,Rd,3.642772,Rd,3.610523,Rd,3.188911
Sb,0.482447,Sb,0.474455,Sb,0.450154,Sb,0.471413,Sb,0.409629,Sb,0.561210,Sb,0.501392
Ra,0.741224,Ra,0.737228,Ra,0.725077,Ra,0.735706,Ra,0.704815,Ra,0.780605,Ra,0.750696
Rb,0.241224,Rb,0.237228,Rb,0.225077,Rb,0.235706,Rb,0.204815,Rb,0.280605,Rb,0.250696
Va,0.594959,Va,0.599764,Va,0.606137,Va,0.594935,Va,0.600096,Va,0.580642,Va,0.591148
Vb,0.410615,Vb,0.404059,Vb,0.413222,Vb,0.413977,Vb,0.431154,Vb,0.396517,Vb,0.407540
AVG_DVf,0.590932,AVG_DVf,0.595429,AVG_DVf,0.596383,AVG_DVf,0.585639,AVG_DVf,0.572086,AVG_DVf,0.620352,AVG_DVf,0.597781
AVG_RVf,0.397023,AVG_RVf,0.390749,AVG_RVf,0.393945,AVG_RVf,0.395102,AVG_RVf,0.391874,AVG_RVf,0.425030,AVG_RVf,0.404041
L_Vf,0.470000,L_Vf,0.470000,L_Vf,0.460000,L_Vf,0.470000,L_Vf,0.450000,L_Vf,0.500000,L_Vf,0.480000
L_Sf,0.414909,L_Sf,0.415226,L_Sf,0.395584,L_Sf,0.412385,L_Sf,0.343240,L_Sf,0.498324,L_Sf,0.443601
U_Vf,0.515000,U_Vf,0.515000,U_Vf,0.505000,U_Vf,0.515000,U_Vf,0.495000,U_Vf,0.545000,U_Vf,0.525000
U_Sf,0.539234,U_Sf,0.530771,U_Sf,0.507605,U_Sf,0.539506,U_Sf,0.482405,U_Sf,0.629923,U_Sf,0.568202
