CD,P2016
1,0.550551
2,0.616450
3,0.365301
4,0.677068
5,0.382740
6,0.554201
7,0.433040
8,0.312371
9,0.457332
10,0.292419
11,0.420572
12,0.628842
13,0.487788
14,0.551187
