CD,composite,P2020,P2016,S2020,S2016,G2020,AG2020
10,0.309522,0.300178,0.292419,0.305320,0.299395,0.333449,0.320099
8,0.332674,0.327700,0.312371,0.331360,0.310068,0.361529,0.343858
3,0.376396,0.371488,0.365301,0.376532,0.362002,0.397028,0.382012
5,0.397577,0.392253,0.382740,0.398754,0.372772,0.432434,0.399753
7,0.445120,0.435541,0.433040,0.439706,0.429486,0.474316,0.453274
11,0.450158,0.448516,0.420572,0.451536,0.434825,0.479686,0.456403
9,0.467712,0.459568,0.457332,0.462506,0.452352,0.496767,0.472889
13,0.506684,0.508621,0.487788,0.501571,0.474091,0.540180,0.517519
1,0.549307,0.536841,0.550551,0.544000,0.543635,0.564050,0.556211
14,0.563539,0.583229,0.551187,0.556147,0.510784,0.597539,0.569358
6,0.564323,0.562761,0.554201,0.562756,0.538120,0.595788,0.568223
2,0.631539,0.646058,0.616450,0.621897,0.576786,0.672971,0.641831
12,0.643981,0.652985,0.628842,0.641151,0.610150,0.671629,0.650926
4,0.677149,0.677508,0.677068,0.671954,0.653040,0.700305,0.680402
