METRIC,S2020
Vf,0.490852
Sf,0.471413
S_V,6.599776
FPTP,7.000000
PR,7.000000
BS_50,0.004048
BV_50,0.001442
GS,0.001957
EG,0.010291
BS_V,0.003297
PROP,0.019439
MM,0.008814
MM',0.008332
LO,-0.008912
TO,0.000481
DECL,0.291509
R,3.124996
r,2.649857
Rd,3.237224
Sb,0.471413
Ra,0.735706
Rb,0.235706
Va,0.594935
Vb,0.413977
AVG_DVf,0.585639
AVG_RVf,0.395102
L_Vf,0.470000
L_Sf,0.412385
U_Vf,0.515000
U_Sf,0.539506
