Vf,composite,P2020,P2016,S2020,S2016,G2020,AG2020,MEAN,SEM,Δ,Δ/SEM
0.390000,0.149253,0.169285,0.162702,0.146708,0.137884,0.138747,0.145179,0.150084,0.005294,-0.000831,-0.156970
0.395000,0.166171,0.186404,0.179645,0.163461,0.153705,0.156072,0.162184,0.166912,0.005380,-0.000741,-0.137732
0.400000,0.183253,0.203320,0.196827,0.180412,0.170006,0.173606,0.179353,0.183921,0.005404,-0.000668,-0.123612
0.405000,0.200400,0.219956,0.214167,0.197466,0.186714,0.191194,0.196577,0.201012,0.005370,-0.000612,-0.113966
0.410000,0.217550,0.236285,0.231595,0.214557,0.203758,0.208723,0.213786,0.218117,0.005284,-0.000567,-0.107305
0.415000,0.234666,0.252316,0.249046,0.231644,0.221066,0.226127,0.230947,0.235191,0.005156,-0.000525,-0.101823
0.420000,0.251734,0.268080,0.266454,0.248708,0.238565,0.243377,0.248052,0.252206,0.004995,-0.000472,-0.094494
0.425000,0.268746,0.283619,0.283755,0.265735,0.256178,0.260471,0.265110,0.269145,0.004811,-0.000399,-0.082935
0.430000,0.285697,0.298973,0.300877,0.282712,0.273825,0.277428,0.282131,0.285991,0.004608,-0.000294,-0.063802
0.435000,0.302571,0.314168,0.317741,0.299620,0.291428,0.294268,0.299117,0.302724,0.004390,-0.000153,-0.034852
0.440000,0.319340,0.329215,0.334269,0.316428,0.308909,0.311011,0.316052,0.319314,0.004155,0.000026,0.006258
0.445000,0.335962,0.344106,0.350380,0.333093,0.326199,0.327662,0.332905,0.335724,0.003897,0.000238,0.061073
0.450000,0.352382,0.358819,0.366005,0.349561,0.343240,0.344212,0.349623,0.351910,0.003613,0.000472,0.130639
0.455000,0.368542,0.373322,0.381085,0.365775,0.359985,0.360640,0.366144,0.367825,0.003297,0.000717,0.217470
0.460000,0.384381,0.387579,0.395584,0.381679,0.376406,0.376915,0.382397,0.383427,0.002949,0.000954,0.323499
0.465000,0.399848,0.401555,0.409489,0.397227,0.392491,0.392998,0.398315,0.398679,0.002569,0.001169,0.455041
0.470000,0.414909,0.415226,0.422812,0.412385,0.408246,0.408855,0.413844,0.413561,0.002162,0.001348,0.623497
0.475000,0.429544,0.428575,0.435592,0.427139,0.422428,0.424455,0.428945,0.427856,0.001854,0.001688,0.910464
0.480000,0.443758,0.441604,0.447888,0.441493,0.436822,0.439778,0.443601,0.441864,0.001520,0.001894,1.246053
0.485000,0.457574,0.454324,0.459230,0.455472,0.451607,0.454816,0.457818,0.455545,0.001100,0.002029,1.844545
0.490000,0.471033,0.466762,0.470696,0.469117,0.466799,0.469575,0.471622,0.469095,0.000814,0.001938,2.380835
0.495000,0.484165,0.478912,0.482543,0.482366,0.482405,0.484070,0.485055,0.482559,0.000854,0.001606,1.880562
0.500000,0.497270,0.491189,0.494829,0.495952,0.498415,0.498324,0.498173,0.496147,0.001160,0.001123,0.968103
0.505000,0.510802,0.503901,0.507605,0.509990,0.514808,0.512365,0.511329,0.510000,0.001564,0.000802,0.512788
0.510000,0.524786,0.517086,0.520910,0.524505,0.531547,0.526221,0.524913,0.524197,0.002001,0.000589,0.294353
0.515000,0.539234,0.530771,0.534766,0.539506,0.548585,0.539919,0.538922,0.538745,0.002437,0.000489,0.200657
0.520000,0.554138,0.544969,0.549183,0.554984,0.565866,0.553475,0.553357,0.553639,0.002866,0.000499,0.174110
0.525000,0.569477,0.559674,0.564155,0.570915,0.583331,0.567555,0.568202,0.568972,0.003277,0.000505,0.154104
0.530000,0.585213,0.574869,0.579660,0.587258,0.600920,0.582741,0.583429,0.584813,0.003638,0.000400,0.109951
0.535000,0.601301,0.590518,0.595664,0.603962,0.618581,0.598241,0.598999,0.600994,0.003949,0.000307,0.077741
0.540000,0.617687,0.606577,0.612120,0.620966,0.636268,0.613991,0.614870,0.617465,0.004210,0.000222,0.052732
0.545000,0.634315,0.622992,0.628972,0.638207,0.653948,0.629923,0.630996,0.634173,0.004425,0.000142,0.032090
0.550000,0.651130,0.639705,0.646157,0.655619,0.671601,0.645969,0.647338,0.651065,0.004602,0.000065,0.014124
0.555000,0.668083,0.656658,0.663608,0.673140,0.689219,0.662068,0.663864,0.668093,0.004750,-0.000010,-0.002105
0.560000,0.685133,0.673794,0.681257,0.690714,0.706805,0.678170,0.680551,0.685215,0.004878,-0.000082,-0.016810
0.565000,0.702247,0.691064,0.699039,0.708296,0.724369,0.694237,0.697385,0.702398,0.004997,-0.000151,-0.030218
0.570000,0.719402,0.708424,0.716891,0.725845,0.741924,0.710251,0.714362,0.719616,0.005114,-0.000214,-0.041846
0.575000,0.736580,0.725838,0.734759,0.743332,0.759481,0.726208,0.731479,0.736849,0.005234,-0.000269,-0.051395
0.580000,0.753770,0.743274,0.752595,0.760734,0.777039,0.742117,0.748733,0.754082,0.005361,-0.000312,-0.058198
0.585000,0.770959,0.760706,0.770357,0.778032,0.794582,0.757999,0.766114,0.771298,0.005490,-0.000339,-0.061749
0.590000,0.788130,0.778107,0.788004,0.795203,0.812073,0.773879,0.783599,0.788478,0.005617,-0.000348,-0.061955
0.595000,0.805254,0.795445,0.805497,0.812219,0.829446,0.789775,0.801144,0.805588,0.005733,-0.000334,-0.058259
0.600000,0.822284,0.812676,0.822787,0.829038,0.846605,0.805699,0.818680,0.822581,0.005823,-0.000297,-0.051005
0.605000,0.839152,0.829743,0.839811,0.845600,0.863426,0.821637,0.836110,0.839388,0.005875,-0.000236,-0.040170
0.610000,0.855762,0.846568,0.856490,0.861821,0.879759,0.837552,0.853308,0.855916,0.005874,-0.000154,-0.026217
0.615000,0.871993,0.863048,0.872720,0.877596,0.895435,0.853374,0.870120,0.872049,0.005807,-0.000056,-0.009644
