Vf,S2020_Sf
0.250,0.000004
0.255,0.000007
0.260,0.000014
0.265,0.000027
0.270,0.000051
0.275,0.000093
0.280,0.000165
0.285,0.000285
0.290,0.000480
0.295,0.000788
0.300,0.001262
0.305,0.001970
0.310,0.003003
0.315,0.004467
0.320,0.006489
0.325,0.009211
0.330,0.012783
0.335,0.017354
0.340,0.023060
0.345,0.030015
0.350,0.038297
0.355,0.047940
0.360,0.058927
0.365,0.071190
0.370,0.084617
0.375,0.099059
0.380,0.114341
0.385,0.130282
0.390,0.146708
0.395,0.163461
0.400,0.180412
0.405,0.197466
0.410,0.214557
0.415,0.231644
0.420,0.248708
0.425,0.265735
0.430,0.282712
0.435,0.299620
0.440,0.316428
0.445,0.333093
0.450,0.349561
0.455,0.365775
0.460,0.381679
0.465,0.397227
0.470,0.412385
0.475,0.427139
0.480,0.441493
0.485,0.455472
0.490,0.469117
0.495,0.482366
0.500,0.495952
0.505,0.509990
0.510,0.524505
0.515,0.539506
0.520,0.554984
0.525,0.570915
0.530,0.587258
0.535,0.603962
0.540,0.620966
0.545,0.638207
0.550,0.655619
0.555,0.673140
0.560,0.690714
0.565,0.708296
0.570,0.725845
0.575,0.743332
0.580,0.760734
0.585,0.778032
0.590,0.795203
0.595,0.812219
0.600,0.829038
0.605,0.845600
0.610,0.861821
0.615,0.877596
0.620,0.892798
0.625,0.907285
0.630,0.920909
0.635,0.933530
0.640,0.945026
0.645,0.955304
0.650,0.964314
0.655,0.972045
0.660,0.978534
0.665,0.983855
0.670,0.988115
0.675,0.991442
0.680,0.993976
0.685,0.995858
0.690,0.997219
0.695,0.998177
0.700,0.998834
0.705,0.999273
0.710,0.999558
0.715,0.999738
0.720,0.999849
0.725,0.999915
0.730,0.999953
0.735,0.999975
0.740,0.999987
0.745,0.999993
0.750,0.999997
