CD,composite
10,0.309522
8,0.332674
3,0.376396
5,0.397577
7,0.445120
11,0.450158
9,0.467712
13,0.506684
1,0.549307
14,0.563539
6,0.564323
2,0.631539
12,0.643981
4,0.677149
