METRIC,G2020
Vf,0.522875
Sf,0.561210
EG,-0.015460
PR,-0.038335
GAMMA,0.003207
BS_50,0.001676
BV_50,0.000597
BS_V,0.003731
GS,0.005291
MM,0.004401
LO,0.022841
DECL,0.061560
R,2.675838
r,2.816017
Rd,3.610523
Sb,0.561210
Ra,0.780605
Rb,0.280605
Va,0.580642
Vb,0.396517
L_Vf,0.500000
L_Sf,0.498324
U_Vf,0.545000
U_Sf,0.629923
