METRIC,AG2020
Vf,0.501243
S_V,7.019488
Sf,0.501392
FPTP,7.000000
PR,7.000000
BS_50,0.001827
BV_50,0.000694
DECL,0.161607
GS,0.000815
EG,0.001094
BS_V,0.001822
PROP,-0.000149
MM,0.006039
TO,0.000332
MM',0.005707
LO,0.001311
R,1.119891
r,2.631181
Rd,3.188911
L_Vf,0.480000
L_Sf,0.443601
U_Vf,0.525000
U_Sf,0.568202
