METRIC,composite,P2020,P2016,S2020,S2016,G2020,AG2020
Vf,0.494333,0.493144,0.480941,0.490852,0.470444,0.522875,0.501243
Sf,0.482447,0.474455,0.450154,0.471413,0.409629,0.561210,0.501392
EG,0.006219,0.011833,0.011728,0.010291,0.031259,-0.015460,0.001094
PR,0.011886,0.018689,0.030787,0.019439,0.060815,-0.038335,-0.000149
GAMMA,0.002669,0.008886,0.006614,0.004347,0.006538,0.003207,0.001879
BS_50,0.002730,0.008811,0.005171,0.004048,0.001585,0.001676,0.001827
BV_50,0.001009,0.003466,0.002024,0.001442,0.000483,0.000597,0.000694
BS_V,0.002460,0.008402,0.001754,0.003297,-0.004432,0.003731,0.001822
GS,0.001177,0.003328,0.004679,0.001957,0.004557,0.005291,0.000815
MM,0.007135,0.009050,0.008381,0.008814,0.007223,0.004401,0.006039
LO,-0.005574,-0.003823,-0.019359,-0.008912,-0.031250,0.022841,0.001311
DECL,0.181298,1.229868,-0.025587,0.291509,-0.152085,0.061560,0.161607
R,3.097378,3.725885,2.615356,3.124996,3.057610,2.675838,1.119891
r,2.626454,2.429867,2.268337,2.649857,2.836393,2.816017,2.631181
Sb,0.482447,0.474455,0.450154,0.471413,0.409629,0.561210,0.501392
Ra,0.741224,0.737228,0.725077,0.735706,0.704815,0.780605,0.750696
Rb,0.241224,0.237228,0.225077,0.235706,0.204815,0.280605,0.250696
Va,0.594959,0.599764,0.606137,0.594935,0.600096,0.580642,0.591148
Vb,0.410615,0.404059,0.413222,0.413977,0.431154,0.396517,0.407540
L_Vf,0.470000,0.470000,0.460000,0.470000,0.450000,0.500000,0.480000
L_Sf,0.414909,0.415226,0.395584,0.412385,0.343240,0.498324,0.443601
U_Vf,0.515000,0.515000,0.505000,0.515000,0.495000,0.545000,0.525000
U_Sf,0.539234,0.530771,0.507605,0.539506,0.482405,0.629923,0.568202
