METRIC,P2016
Vf,0.480941
Sf,0.450154
S_V,6.302155
FPTP,6.000000
PR,7.000000
EG,0.011728
PROP,0.030787
BS_50,0.005171
BV_50,0.002024
GS,0.004679
BS_V,0.001754
DECL,-0.025587
MM,0.008381
TO,0.000237
MM',0.008144
LO,-0.019359
R,2.615356
r,2.268337
Rd,2.773323
Sb,0.450154
Ra,0.725077
Rb,0.225077
Va,0.606137
Vb,0.413222
AVG_DVf,0.596383
AVG_RVf,0.393945
L_Vf,0.460000
L_Sf,0.395584
U_Vf,0.505000
U_Sf,0.507605
