Vf,AG2020_Sf
0.250,0.000003
0.255,0.000006
0.260,0.000011
0.265,0.000022
0.270,0.000041
0.275,0.000076
0.280,0.000135
0.285,0.000236
0.290,0.000401
0.295,0.000665
0.300,0.001075
0.305,0.001695
0.310,0.002610
0.315,0.003924
0.320,0.005760
0.325,0.008262
0.330,0.011585
0.335,0.015888
0.340,0.021323
0.345,0.028021
0.350,0.036082
0.355,0.045559
0.360,0.056452
0.365,0.068704
0.370,0.082205
0.375,0.096799
0.380,0.112294
0.385,0.128488
0.390,0.145179
0.395,0.162184
0.400,0.179353
0.405,0.196577
0.410,0.213786
0.415,0.230947
0.420,0.248052
0.425,0.265110
0.430,0.282131
0.435,0.299117
0.440,0.316052
0.445,0.332905
0.450,0.349623
0.455,0.366144
0.460,0.382397
0.465,0.398315
0.470,0.413844
0.475,0.428945
0.480,0.443601
0.485,0.457818
0.490,0.471622
0.495,0.485055
0.500,0.498173
0.505,0.511329
0.510,0.524913
0.515,0.538922
0.520,0.553357
0.525,0.568202
0.530,0.583429
0.535,0.598999
0.540,0.614870
0.545,0.630996
0.550,0.647338
0.555,0.663864
0.560,0.680551
0.565,0.697385
0.570,0.714362
0.575,0.731479
0.580,0.748733
0.585,0.766114
0.590,0.783599
0.595,0.801144
0.600,0.818680
0.605,0.836110
0.610,0.853308
0.615,0.870120
0.620,0.886374
0.625,0.901885
0.630,0.916472
0.635,0.929967
0.640,0.942230
0.645,0.953163
0.650,0.962714
0.655,0.970879
0.660,0.977705
0.665,0.983281
0.670,0.987728
0.675,0.991189
0.680,0.993815
0.685,0.995758
0.690,0.997159
0.695,0.998142
0.700,0.998815
0.705,0.999262
0.710,0.999552
0.715,0.999735
0.720,0.999847
0.725,0.999914
0.730,0.999953
0.735,0.999975
0.740,0.999987
0.745,0.999993
0.750,0.999997
