CD,P2016
10,0.292419
8,0.312371
3,0.365301
5,0.382740
11,0.420572
7,0.433040
9,0.457332
13,0.487788
1,0.550551
14,0.551187
6,0.554201
2,0.616450
12,0.628842
4,0.677068
