Vf,S2016
0.250,0.000005
0.255,0.000010
0.260,0.000020
0.265,0.000038
0.270,0.000070
0.275,0.000125
0.280,0.000218
0.285,0.000371
0.290,0.000613
0.295,0.000988
0.300,0.001552
0.305,0.002375
0.310,0.003546
0.315,0.005168
0.320,0.007353
0.325,0.010224
0.330,0.013902
0.335,0.018499
0.340,0.024112
0.345,0.030812
0.350,0.038643
0.355,0.047614
0.360,0.057705
0.365,0.068866
0.370,0.081026
0.375,0.094100
0.380,0.107995
0.385,0.122620
0.390,0.137884
0.395,0.153705
0.400,0.170006
0.405,0.186714
0.410,0.203758
0.415,0.221066
0.420,0.238565
0.425,0.256178
0.430,0.273825
0.435,0.291428
0.440,0.308909
0.445,0.326199
0.450,0.343240
0.455,0.359985
0.460,0.376406
0.465,0.392491
0.470,0.408246
0.475,0.422428
0.480,0.436822
0.485,0.451607
0.490,0.466799
0.495,0.482405
0.500,0.498415
0.505,0.514808
0.510,0.531547
0.515,0.548585
0.520,0.565866
0.525,0.583331
0.530,0.600920
0.535,0.618581
0.540,0.636268
0.545,0.653948
0.550,0.671601
0.555,0.689219
0.560,0.706805
0.565,0.724369
0.570,0.741924
0.575,0.759481
0.580,0.777039
0.585,0.794582
0.590,0.812073
0.595,0.829446
0.600,0.846605
0.605,0.863426
0.610,0.879759
0.615,0.895435
0.620,0.910281
0.625,0.924128
0.630,0.936827
0.635,0.948263
0.640,0.958362
0.645,0.967097
0.650,0.974492
0.655,0.980614
0.660,0.985565
0.665,0.989477
0.670,0.992493
0.675,0.994761
0.680,0.996426
0.685,0.997617
0.690,0.998448
0.695,0.999013
0.700,0.999387
0.705,0.999628
0.710,0.999780
0.715,0.999873
0.720,0.999929
0.725,0.999961
0.730,0.999979
0.735,0.999989
0.740,0.999994
0.745,0.999997
0.750,0.999999
