CD,AG2020
1,0.556211
2,0.641831
3,0.382012
4,0.680402
5,0.399753
6,0.568223
7,0.453274
8,0.343858
9,0.472889
10,0.320099
11,0.456403
12,0.650926
13,0.517519
14,0.569358
