Vf,S2018
0.250,0.001524
0.255,0.002593
0.260,0.004257
0.265,0.006746
0.270,0.010329
0.275,0.015290
0.280,0.021901
0.285,0.030385
0.290,0.040879
0.295,0.053393
0.300,0.067799
0.305,0.083827
0.310,0.101085
0.315,0.119104
0.320,0.137390
0.325,0.155477
0.330,0.172974
0.335,0.189595
0.340,0.205165
0.345,0.219614
0.350,0.232950
0.355,0.245230
0.360,0.256538
0.365,0.266958
0.370,0.276561
0.375,0.285408
0.380,0.293547
0.385,0.301021
0.390,0.307871
0.395,0.314147
0.400,0.319901
0.405,0.325191
0.410,0.330077
0.415,0.334615
0.420,0.338856
0.425,0.342842
0.430,0.346609
0.435,0.350182
0.440,0.353582
0.445,0.356825
0.450,0.359927
0.455,0.362906
0.460,0.365781
0.465,0.368578
0.470,0.371326
0.475,0.374057
0.480,0.376809
0.485,0.379624
0.490,0.382699
0.495,0.386291
0.500,0.390478
0.505,0.395411
0.510,0.401259
0.515,0.408211
0.520,0.416461
0.525,0.426207
0.530,0.437633
0.535,0.450901
0.540,0.466136
0.545,0.483407
0.550,0.502723
0.555,0.524017
0.560,0.547146
0.565,0.571888
0.570,0.597954
0.575,0.624999
0.580,0.652638
0.585,0.680472
0.590,0.708108
0.595,0.735185
0.600,0.761388
0.605,0.786463
0.610,0.810220
0.615,0.832533
0.620,0.853332
0.625,0.872590
0.630,0.890306
0.635,0.906497
0.640,0.921184
0.645,0.934390
0.650,0.946138
0.655,0.956457
0.660,0.965384
0.665,0.972977
0.670,0.979311
0.675,0.984484
0.680,0.988614
0.685,0.991833
0.690,0.994278
0.695,0.996088
0.700,0.997392
0.705,0.998306
0.710,0.998928
0.715,0.999339
0.720,0.999604
0.725,0.999769
0.730,0.999869
0.735,0.999928
0.740,0.999961
0.745,0.999980
0.750,0.999990
