Vf,AG2018
0.250,0.001602
0.255,0.002713
0.260,0.004432
0.265,0.006989
0.270,0.010646
0.275,0.015680
0.280,0.022348
0.285,0.030855
0.290,0.041318
0.295,0.053732
0.300,0.067958
0.305,0.083728
0.310,0.100669
0.315,0.118343
0.320,0.136300
0.325,0.154126
0.330,0.171478
0.335,0.188109
0.340,0.203867
0.345,0.218683
0.350,0.232550
0.355,0.245492
0.360,0.257549
0.365,0.268758
0.370,0.279147
0.375,0.288738
0.380,0.297551
0.385,0.305607
0.390,0.312939
0.395,0.319587
0.400,0.325605
0.405,0.331051
0.410,0.335986
0.415,0.340472
0.420,0.344564
0.425,0.348313
0.430,0.351761
0.435,0.354946
0.440,0.357901
0.445,0.360658
0.450,0.363247
0.455,0.365700
0.460,0.368050
0.465,0.370332
0.470,0.372585
0.475,0.374848
0.480,0.377162
0.485,0.379678
0.490,0.382611
0.495,0.386049
0.500,0.390130
0.505,0.395011
0.510,0.400874
0.515,0.407917
0.520,0.416346
0.525,0.426369
0.530,0.438181
0.535,0.451947
0.540,0.467790
0.545,0.485773
0.550,0.505888
0.555,0.528047
0.560,0.552077
0.565,0.577723
0.570,0.604661
0.575,0.632511
0.580,0.660858
0.585,0.689281
0.590,0.717375
0.595,0.744770
0.600,0.771154
0.605,0.796282
0.610,0.819975
0.615,0.842120
0.620,0.862654
0.625,0.881559
0.630,0.898839
0.635,0.914514
0.640,0.928614
0.645,0.941168
0.650,0.952215
0.655,0.961800
0.660,0.969986
0.665,0.976851
0.670,0.982496
0.675,0.987037
0.680,0.990608
0.685,0.993349
0.690,0.995399
0.695,0.996894
0.700,0.997955
0.705,0.998687
0.710,0.999179
0.715,0.999500
0.720,0.999704
0.725,0.999829
0.730,0.999904
0.735,0.999948
0.740,0.999972
0.745,0.999986
0.750,0.999993
