CD,composite,CD,P2020,CD,P2016,CD,S2020,CD,S2018,CD,G2018,CD,AG2018
1,0.260036,1,0.267933,1,0.253895,1,0.261381,1,0.270627,1,0.245208,1,0.273070
2,0.360292,2,0.384543,2,0.333148,2,0.363748,2,0.375503,2,0.326048,2,0.370421
3,0.396491,3,0.426784,3,0.361642,3,0.392456,3,0.420651,3,0.356470,3,0.411963
4,0.346087,4,0.368535,4,0.319766,4,0.343933,4,0.367805,4,0.313504,4,0.363745
5,0.374563,5,0.386464,5,0.350457,5,0.372377,5,0.397119,5,0.351266,5,0.394256
6,0.362381,6,0.378733,6,0.337759,6,0.363637,6,0.381104,6,0.334556,6,0.380071
7,0.644645,7,0.650734,7,0.657580,7,0.617733,7,0.675088,7,0.604469,7,0.668133
8,0.351187,8,0.362310,8,0.333984,8,0.348581,8,0.368120,8,0.329401,8,0.365819
9,0.775017,9,0.770056,9,0.795988,9,0.753824,9,0.797029,9,0.742632,9,0.794189
10,0.385629,10,0.404333,10,0.360640,10,0.380725,10,0.410613,10,0.353474,10,0.403557
11,0.286238,11,0.295393,11,0.280014,11,0.285209,11,0.302072,11,0.266654,11,0.299589
12,0.391109,12,0.407821,12,0.364825,12,0.383987,12,0.417257,12,0.362752,12,0.408340
13,0.257118,13,0.268872,13,0.231234,13,0.255048,13,0.279629,13,0.247027,13,0.277602
14,0.353388,14,0.355344,14,0.352332,14,0.344154,14,0.369665,14,0.330517,14,0.372129
15,0.520890,15,0.485471,15,0.568635,15,0.475912,15,0.558730,15,0.501035,15,0.563175
16,0.700973,16,0.679849,16,0.722530,16,0.673349,16,0.745831,16,0.678087,16,0.716110
17,0.371305,17,0.385529,17,0.351915,17,0.369711,17,0.389470,17,0.346962,17,0.388944
18,0.750750,18,0.746060,18,0.769063,18,0.726801,18,0.773518,18,0.721106,18,0.769707
19,0.257579,19,0.265482,19,0.245827,19,0.249286,19,0.279804,19,0.244110,19,0.279381
20,0.665289,20,0.668197,20,0.669592,20,0.644089,20,0.697281,20,0.628534,20,0.689215
21,0.375889,21,0.400011,21,0.352661,21,0.370309,21,0.397394,21,0.338106,21,0.392809
22,0.394876,22,0.418590,22,0.373499,22,0.392596,22,0.413512,22,0.357492,22,0.408631
23,0.463500,23,0.463595,23,0.478394,23,0.444130,23,0.490724,23,0.428373,23,0.483190
24,0.400117,24,0.437264,24,0.374114,24,0.391913,24,0.426694,24,0.347398,24,0.415690
25,0.328745,25,0.341999,25,0.307615,25,0.326600,25,0.349671,25,0.303591,25,0.347844
26,0.376201,26,0.405975,26,0.338574,26,0.374950,26,0.399976,26,0.338101,26,0.389104
27,0.380975,27,0.386367,27,0.387348,27,0.375347,27,0.399802,27,0.341247,27,0.400908
28,0.563849,28,0.535666,28,0.600103,28,0.534134,28,0.594074,28,0.534654,28,0.603126
29,0.723064,29,0.685831,29,0.757491,29,0.678976,29,0.762120,29,0.715441,29,0.757095
30,0.783181,30,0.787229,30,0.789568,30,0.767462,30,0.804184,30,0.750345,30,0.797495
31,0.373574,31,0.396849,31,0.340287,31,0.377975,31,0.394372,31,0.335750,31,0.388606
32,0.646121,32,0.667634,32,0.637511,32,0.632401,32,0.672052,32,0.601966,32,0.660670
33,0.762571,33,0.753030,33,0.767259,33,0.735272,33,0.790343,33,0.746445,33,0.781633
34,0.621187,34,0.578402,34,0.688119,34,0.579045,34,0.657009,34,0.581343,34,0.663559
35,0.734449,35,0.730314,35,0.725697,35,0.710770,35,0.769775,35,0.715209,35,0.760411
36,0.334995,36,0.340003,36,0.327801,36,0.328594,36,0.351954,36,0.313238,36,0.354028
37,0.755310,37,0.769082,37,0.743703,37,0.735895,37,0.786190,37,0.719634,37,0.776779
38,0.379187,38,0.408096,38,0.359659,38,0.374491,38,0.397165,38,0.335593,38,0.392820
