Vf,composite,P2020,P2016,S2020,S2018,G2018,AG2018
0.250,0.002487,0.001424,0.005908,0.002327,0.001524,0.005349,0.001602
0.255,0.004100,0.002398,0.009260,0.003821,0.002593,0.008470,0.002713
0.260,0.006516,0.003897,0.013989,0.006052,0.004257,0.012917,0.004432
0.265,0.009995,0.006117,0.020388,0.009254,0.006746,0.018988,0.006989
0.270,0.014807,0.009277,0.028706,0.013673,0.010329,0.026935,0.010646
0.275,0.021210,0.013610,0.039100,0.019541,0.015290,0.036919,0.015680
0.280,0.029409,0.019336,0.051606,0.027047,0.021901,0.048960,0.022348
0.285,0.039523,0.026630,0.066109,0.036303,0.030385,0.062917,0.030855
0.290,0.051551,0.035601,0.082353,0.047323,0.040879,0.078485,0.041318
0.295,0.065362,0.046266,0.099957,0.060005,0.053393,0.095219,0.053732
0.300,0.080695,0.058538,0.118462,0.074136,0.067799,0.112589,0.067958
0.305,0.097185,0.072232,0.137377,0.089415,0.083827,0.130044,0.083728
0.310,0.114402,0.087083,0.156241,0.105479,0.101085,0.147084,0.100669
0.315,0.131900,0.102769,0.174656,0.121947,0.119104,0.163318,0.118343
0.320,0.149266,0.118952,0.192317,0.138458,0.137390,0.178491,0.136300
0.325,0.166157,0.135304,0.209021,0.154700,0.155477,0.192500,0.154126
0.330,0.182320,0.151532,0.224658,0.170426,0.172974,0.205368,0.171478
0.335,0.197598,0.167393,0.239191,0.185464,0.189595,0.217211,0.188109
0.340,0.211921,0.182695,0.252635,0.199708,0.205165,0.228195,0.203867
0.345,0.225278,0.197290,0.265036,0.213101,0.219614,0.238492,0.218683
0.350,0.237702,0.211068,0.276451,0.225627,0.232950,0.248253,0.232550
0.355,0.249239,0.223945,0.286941,0.237290,0.245230,0.257583,0.245492
0.360,0.259938,0.235861,0.296563,0.248106,0.256538,0.266540,0.257549
0.365,0.269840,0.246778,0.305370,0.258099,0.266958,0.275141,0.268758
0.370,0.278978,0.256682,0.313410,0.267296,0.276561,0.283368,0.279147
0.375,0.287381,0.265587,0.320730,0.275728,0.285408,0.291192,0.288738
0.380,0.295076,0.273535,0.327376,0.283436,0.293547,0.298579,0.297551
0.385,0.302098,0.280599,0.333393,0.290463,0.301021,0.305503,0.305607
0.390,0.308492,0.286875,0.338825,0.296864,0.307871,0.311954,0.312939
0.395,0.314313,0.292476,0.343717,0.302696,0.314147,0.317937,0.319587
0.400,0.319624,0.297523,0.348109,0.308022,0.319901,0.323470,0.325605
0.405,0.324492,0.302135,0.352045,0.312906,0.325191,0.328584,0.331051
0.410,0.328987,0.306421,0.355566,0.317409,0.330077,0.333312,0.335986
0.415,0.333171,0.310477,0.358715,0.321589,0.334615,0.337692,0.340472
0.420,0.337101,0.314380,0.361535,0.325501,0.338856,0.341755,0.344564
0.425,0.340823,0.318192,0.364071,0.329194,0.342842,0.345530,0.348313
0.430,0.344374,0.321959,0.366368,0.332713,0.346609,0.349043,0.351761
0.435,0.347781,0.325715,0.368471,0.336096,0.350182,0.351861,0.354946
0.440,0.351065,0.329487,0.370423,0.339381,0.353582,0.354193,0.357901
0.445,0.354239,0.333298,0.372263,0.342601,0.356825,0.356498,0.360658
0.450,0.357318,0.337170,0.374026,0.345789,0.359927,0.358788,0.363247
0.455,0.360313,0.341128,0.375632,0.348623,0.362906,0.361081,0.365700
0.460,0.363237,0.345197,0.377121,0.351606,0.365781,0.363405,0.368050
0.465,0.365938,0.349407,0.378681,0.354838,0.368578,0.365795,0.370332
0.470,0.368607,0.353792,0.380327,0.358381,0.371326,0.368297,0.372585
0.475,0.371474,0.358411,0.382089,0.362314,0.374057,0.370975,0.374848
0.480,0.374608,0.363535,0.384003,0.366734,0.376809,0.373906,0.377162
0.485,0.378099,0.369301,0.386125,0.371756,0.379624,0.377191,0.379678
0.490,0.382060,0.375822,0.388528,0.377518,0.382699,0.380951,0.382611
0.495,0.386624,0.383225,0.391309,0.384175,0.386291,0.385335,0.386049
0.500,0.391950,0.391644,0.394591,0.391898,0.390478,0.390515,0.390130
0.505,0.398216,0.401218,0.398525,0.400871,0.395411,0.396687,0.395011
0.510,0.405617,0.412087,0.403288,0.411277,0.401259,0.404066,0.400874
0.515,0.414356,0.424379,0.409082,0.423295,0.408211,0.412878,0.407917
0.520,0.424637,0.438207,0.416128,0.437082,0.416461,0.423350,0.416346
0.525,0.436649,0.453659,0.424654,0.452761,0.426207,0.435696,0.426369
0.530,0.450556,0.470786,0.434890,0.470407,0.437633,0.450101,0.438181
