CD,G2018
1,0.245208
2,0.326048
3,0.356470
4,0.313504
5,0.351266
6,0.334556
7,0.604469
8,0.329401
9,0.742632
10,0.353474
11,0.266654
12,0.362752
13,0.247027
14,0.330517
15,0.501035
16,0.678087
17,0.346962
18,0.721106
19,0.244110
20,0.628534
21,0.338106
22,0.357492
23,0.428373
24,0.347398
25,0.303591
26,0.338101
27,0.341247
28,0.534654
29,0.715441
30,0.750345
31,0.335750
32,0.601966
33,0.746445
34,0.581343
35,0.715209
36,0.313238
37,0.719634
38,0.335593
