CD,P2020
1,0.267933
2,0.384543
3,0.426784
4,0.368535
5,0.386464
6,0.378733
7,0.650734
8,0.362310
9,0.770056
10,0.404333
11,0.295393
12,0.407821
13,0.268872
14,0.355344
15,0.485471
16,0.679849
17,0.385529
18,0.746060
19,0.265482
20,0.668197
21,0.400011
22,0.418590
23,0.463595
24,0.437264
25,0.341999
26,0.405975
27,0.386367
28,0.535666
29,0.685831
30,0.787229
31,0.396849
32,0.667634
33,0.753030
34,0.578402
35,0.730314
36,0.340003
37,0.769082
38,0.408096
