METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2020,METRIC,S2018,METRIC,G2018,METRIC,AG2018
Vf,0.462228,Vf,0.471691,Vf,0.452877,Vf,0.450504,Vf,0.487067,Vf,0.432364,Vf,0.481899
Sf,0.364521,Sf,0.355322,Sf,0.375017,Sf,0.346110,Sf,0.380816,Sf,0.350618,Sf,0.378062
EG,0.059935,EG,0.088060,EG,0.030737,EG,0.054898,EG,0.093318,EG,0.014110,EG,0.085736
PR,0.097707,PR,0.116369,PR,0.077860,PR,0.104394,PR,0.106251,PR,0.081746,PR,0.103837
GAMMA,0.115079,GAMMA,0.118530,GAMMA,0.109851,GAMMA,0.125839,GAMMA,0.111230,GAMMA,0.111255,GAMMA,0.112827
BS_50,0.108050,BS_50,0.108356,BS_50,0.105409,BS_50,0.108102,BS_50,0.109522,BS_50,0.109485,BS_50,0.109870
BV_50,0.043866,BV_50,0.037545,BV_50,0.050826,BV_50,0.037311,BV_50,0.049295,BV_50,0.043409,BV_50,0.048536
BS_V,0.079551,BS_V,0.089826,BS_V,0.069657,BS_V,0.048256,BS_V,0.106884,BS_V,0.011513,BS_V,0.104369
GS,0.059529,GS,0.052833,GS,0.068169,GS,0.058923,GS,0.055763,GS,0.067589,GS,0.056945
MM,0.073859,MM,0.063733,MM,0.089643,MM,0.068148,MM,0.075005,MM,0.079994,MM,0.075951
LO,0.048114,LO,0.060834,LO,0.039214,LO,0.030307,LO,0.087148,LO,-0.000555,LO,0.079881
DECL,22.127879,DECL,25.092450,DECL,19.613680,DECL,21.401212,DECL,26.118355,DECL,16.321188,DECL,25.351467
R,3.586748,R,5.110685,R,2.652275,R,3.109150,R,9.215505,R,2.208622,R,6.736512
r,0.540073,r,0.923661,r,0.321118,r,0.566744,r,0.615027,r,0.563710,r,0.503301
Sb,0.364521,Sb,0.355322,Sb,0.375017,Sb,0.346110,Sb,0.380816,Sb,0.350618,Sb,0.378062
Ra,0.682261,Ra,0.677661,Ra,0.687508,Ra,0.673055,Ra,0.690408,Ra,0.675309,Ra,0.689031
Rb,0.182261,Rb,0.177661,Rb,0.187508,Rb,0.173055,Rb,0.190408,Rb,0.175309,Rb,0.189031
Va,0.641575,Va,0.623415,Va,0.663032,Va,0.642087,Va,0.624442,Va,0.667785,Va,0.627739
Vb,0.310310,Vb,0.315750,Vb,0.297754,Vb,0.327605,Vb,0.288410,Vb,0.332770,Vb,0.292379
L_Vf,0.440000,L_Vf,0.450000,L_Vf,0.430000,L_Vf,0.430000,L_Vf,0.465000,L_Vf,0.410000,L_Vf,0.460000
L_Sf,0.351065,L_Sf,0.337170,L_Sf,0.366368,L_Sf,0.332713,L_Sf,0.368578,L_Sf,0.333312,L_Sf,0.368050
U_Vf,0.485000,U_Vf,0.495000,U_Vf,0.475000,U_Vf,0.475000,U_Vf,0.510000,U_Vf,0.455000,U_Vf,0.505000
U_Sf,0.378099,U_Sf,0.383225,U_Sf,0.382089,U_Sf,0.362314,U_Sf,0.401259,U_Sf,0.361081,U_Sf,0.395011
